web-scraper-order,web-scraper-start-url,company,company-href,model,model-href
"1555570118-229","https://www.gsmarena.com/","Acer","https://www.gsmarena.com/acer-phones-59.php","Iconia One 8 B1-820","https://www.gsmarena.com/acer_iconia_one_8_b1_820-7217.php"
"1555570125-358","https://www.gsmarena.com/","Lava","https://www.gsmarena.com/lava-phones-94.php","X38","https://www.gsmarena.com/lava_x38-8217.php"
"1555570158-763","https://www.gsmarena.com/","Oppo","https://www.gsmarena.com/oppo-phones-82.php","R11s","https://www.gsmarena.com/oppo_r11s-8911.php"
"1555570162-802","https://www.gsmarena.com/","Google","https://www.gsmarena.com/google-phones-107.php","Pixel 2 XL","https://www.gsmarena.com/google_pixel_2_xl-8720.php"
"1555570101-14","https://www.gsmarena.com/","Plum","https://www.gsmarena.com/plum-phones-72.php","Compass LTE","https://www.gsmarena.com/plum_compass_lte-8968.php"
"1555570129-392","https://www.gsmarena.com/","Energizer","https://www.gsmarena.com/energizer-phones-106.php","Hardcase H280S","https://www.gsmarena.com/energizer_hardcase_h280s-9560.php"
"1555570190-1032","https://www.gsmarena.com/","LG","https://www.gsmarena.com/lg-phones-20.php","Stylus 2 Plus","https://www.gsmarena.com/lg_stylus_2_plus-8079.php"
"1555570190-991","https://www.gsmarena.com/","LG","https://www.gsmarena.com/lg-phones-20.php","Q Stylo 4","https://www.gsmarena.com/lg_q_stylo_4-9251.php"
"1555570203-1162","https://www.gsmarena.com/","Apple","https://www.gsmarena.com/apple-phones-48.php","iPad Pro 12.9 (2017)","https://www.gsmarena.com/apple_ipad_pro_12_9_(2017)-8717.php"
"1555570160-776","https://www.gsmarena.com/","Honor","https://www.gsmarena.com/honor-phones-121.php","8A Pro","https://www.gsmarena.com/honor_8a_pro-9662.php"
"1555570142-566","https://www.gsmarena.com/","Asus","https://www.gsmarena.com/asus-phones-46.php","Zenfone 5z ZS620KL","https://www.gsmarena.com/asus_zenfone_5z_zs620kl-9096.php"
"1555570158-745","https://www.gsmarena.com/","Oppo","https://www.gsmarena.com/oppo-phones-82.php","RX17 Pro","https://www.gsmarena.com/oppo_rx17_pro-9288.php"
"1555570125-334","https://www.gsmarena.com/","Lava","https://www.gsmarena.com/lava-phones-94.php","Z91 (2GB)","https://www.gsmarena.com/lava_z91_(2gb)-9266.php"
"1555570137-487","https://www.gsmarena.com/","ZTE","https://www.gsmarena.com/zte-phones-62.php","nubia N3","https://www.gsmarena.com/zte_nubia_n3-9110.php"
"1555570116-198","https://www.gsmarena.com/","Infinix","https://www.gsmarena.com/infinix-phones-119.php","Zero 5","https://www.gsmarena.com/infinix_zero_5-9414.php"
"1555570205-1186","https://www.gsmarena.com/","Samsung","https://www.gsmarena.com/samsung-phones-9.php","Galaxy S10 5G","https://www.gsmarena.com/samsung_galaxy_s10_5g-9588.php"
"1555570142-584","https://www.gsmarena.com/","Asus","https://www.gsmarena.com/asus-phones-46.php","Zenfone Go ZB552KL","https://www.gsmarena.com/asus_zenfone_go_zb552kl-8681.php"
"1555570190-990","https://www.gsmarena.com/","LG","https://www.gsmarena.com/lg-phones-20.php","K11 Plus","https://www.gsmarena.com/lg_k11_plus-9278.php"
"1555570172-955","https://www.gsmarena.com/","HTC","https://www.gsmarena.com/htc-phones-45.php","Desire 728 Ultra","https://www.gsmarena.com/htc_desire_728_ultra-8633.php"
"1555570162-803","https://www.gsmarena.com/","Google","https://www.gsmarena.com/google-phones-107.php","Pixel XL","https://www.gsmarena.com/google_pixel_xl-8345.php"
"1555570158-743","https://www.gsmarena.com/","Oppo","https://www.gsmarena.com/oppo-phones-82.php","K1","https://www.gsmarena.com/oppo_k1-9361.php"
"1555570121-264","https://www.gsmarena.com/","BLU","https://www.gsmarena.com/blu-phones-67.php","Grand M3","https://www.gsmarena.com/blu_grand_m3-9253.php"
"1555570199-1144","https://www.gsmarena.com/","Huawei","https://www.gsmarena.com/huawei-phones-58.php","P20 lite","https://www.gsmarena.com/huawei_p20_lite-9098.php"
"1555570137-499","https://www.gsmarena.com/","ZTE","https://www.gsmarena.com/zte-phones-62.php","Blade Z Max","https://www.gsmarena.com/zte_blade_z_max-8290.php"
"1555570147-668","https://www.gsmarena.com/","Meizu","https://www.gsmarena.com/meizu-phones-74.php","Pro 6s","https://www.gsmarena.com/meizu_pro_6s-8389.php"
"1555570165-827","https://www.gsmarena.com/","Xiaomi","https://www.gsmarena.com/xiaomi-phones-80.php","Redmi 6","https://www.gsmarena.com/xiaomi_redmi_6-9237.php"
"1555570137-513","https://www.gsmarena.com/","ZTE","https://www.gsmarena.com/zte-phones-62.php","nubia Z17 mini","https://www.gsmarena.com/zte_nubia_z17_mini-8615.php"
"1555570108-95","https://www.gsmarena.com/","Panasonic","https://www.gsmarena.com/panasonic-phones-6.php","P85 Nxt","https://www.gsmarena.com/panasonic_p85_nxt-9389.php"
